Fechamento,Abertura,Maxima,Minima,Chikou,Tekan,Kinju,Senkou A,Senkou B,Chikou0,Chikou1,Chikou2,T/K 0,T/K 1,T/K 2,Preco X T/K 0,Preco X T/K 1,Preco X T/K 2,Kumo 0,Kumo 1,Kumo 2,Resultado
126.3,133.85,125.72,133.2,107.05,122.24,115.9,121.56,104.05,0,0,1,0,1,0,0,1,0,0,1,0,0
133.1,133.22,128.9,131.98,108.25,125.45,115.9,121.56,104.59,0,0,1,0,1,0,0,1,0,0,1,0,0
131.99,136,130.62,133.48,111.29,126.31,114.19,122.79,104.59,0,0,1,0,1,0,0,1,0,0,1,0,0
133.5,135.47,124.7,129.75,109.5,126.31,114.19,121.1,104.59,0,1,0,0,1,0,0,1,0,0,1,0,0
129.77,130.58,125.6,129,108.2,126.31,114.19,118.16,104.59,0,1,0,0,1,0,0,1,0,0,1,0,0
129,132.59,127.66,132.3,107.9,126.75,121.06,116.06,105.54,0,1,0,0,1,0,0,1,0,0,1,0,0
132.25,132.25,127,128.8,102.09,127.26,121.06,116.06,105.54,0,1,0,0,1,0,0,1,0,0,1,0,0
128.8,129.9,126.4,129,103.33,128.66,121.06,108.72,105.54,0,1,0,0,1,0,0,1,0,0,1,0,0
128.81,129.78,127.2,129.3,104,129.71,121.06,108.72,105.54,0,1,0,0,1,0,1,0,0,0,1,0,0
129.3,129.4,115.05,122.29,101.74,126.46,121.06,108.72,105.79,0,1,0,0,1,0,0,1,0,0,1,0,0
122.5,122.5,116,122.22,94.66,126.42,121.06,108.72,107.35,0,1,0,0,1,0,1,0,0,0,1,0,0
120.74,123.84,119.1,121.42,95,124.54,121.06,102.61,111.88,0,1,0,0,1,0,1,0,0,0,1,0,0
121.4,123.47,119.9,121.65,97.51,124.54,121.06,103.09,114.12,0,1,0,0,1,0,1,0,0,0,1,0,0
121.9,123.1,117.25,118,88.05,122.83,121.06,103.46,114.12,0,1,0,0,1,0,1,0,0,0,1,0,0
118.97,119,106.42,111.5,90.41,119.35,121.06,112.48,114.12,0,1,0,0,0,1,1,0,1,0,1,0,0
111,111.42,107.3,108.3,78.89,117.75,119.46,114.68,114.12,0,0,1,0,0,1,1,0,1,0,1,0,0
107.89,108.99,88.5,100,79.99,113.6,115.31,114.68,116.22,0,0,1,0,0,1,1,0,1,0,0,1,1
100.44,110.1,95,106.35,68.5,109.95,115.31,114.68,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
106.35,109.6,104,108.9,68.75,109.95,115.31,114.68,116.22,0,0,1,0,0,1,1,0,1,0,0,1,1
109,111.79,106.73,108.15,76.5,109.95,115.31,115.2,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
108.78,110.3,100.53,104,76,109.95,115.31,116.63,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
103.95,104.7,98,99.98,76.72,108.62,115.3,116.63,116.22,0,0,1,0,0,1,1,0,1,0,0,1,1
100,103.7,98,99.99,88,103.64,115.3,116.4,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
99.8,101.6,98.95,99.51,88.98,103.41,115.07,116.4,116.22,0,0,1,0,0,1,1,0,1,0,0,1,1
99.9,102.21,99,101.7,93.99,103.12,115.07,116.4,116.22,0,0,1,0,0,1,1,0,1,0,0,1,1
101.95,111.11,101.03,107.4,98.7,103.12,115.07,117.28,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
107.05,110.22,105.75,108.25,93.61,103.12,115.07,119.07,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
108.25,114.3,107.5,110.15,98.89,103.51,115.07,120.67,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
111.29,114.99,107.69,109.5,96.71,103.6,113.59,120.25,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
109.5,109.96,107.51,108.3,98.5,103.6,113.59,120.25,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
108.2,108.8,106.23,107.6,90.07,103.6,113.59,120.25,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
107.9,108.33,100.98,102.74,92,103.6,113.36,123.91,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
